e47f49d7-eee7-4ad8-b17b-4841805ac3a52026-02-09 19:46:56,672 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:46:56,731 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:46:56,782 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:46:56,785 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:47:02,769 - license_client - INFO - Регистрация ключа: e47f49d7...
2026-02-09 19:47:02,795 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:47:02,918 - license_client - INFO - Лицензия сохранена
2026-02-09 19:47:02,938 - license_client - INFO - Лицензия действительна
2026-02-09 19:47:02,942 - license_client - INFO - Лицензия успешно активирована
2026-02-09 19:47:27,288 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:47:27,353 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:47:27,357 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 19:47:27,361 - license_client - INFO - Загружена лицензия: True
2026-02-09 19:51:08,931 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:51:08,987 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:51:08,991 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 19:51:08,996 - license_client - INFO - Загружена лицензия: True
2026-02-09 19:51:09,430 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 19:52:09,433 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:52:09,604 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:52:09,609 - license_client - WARNING - Лицензия стала недействительной
2026-02-09 19:52:09,614 - license_client - INFO - Лицензия сохранена
2026-02-09 19:52:15,147 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 19:52:20,946 - license_client - INFO - Загружен сохраненный HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:52:21,006 - license_client - INFO - Инициализирован HWID: CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:52:21,012 - license_client - INFO - Лицензия действительна до 2026-02-10 16:48:04.503768
2026-02-09 19:52:21,016 - license_client - INFO - Загружена лицензия: True
2026-02-09 19:52:21,461 - license_client - INFO - Запущена фоновая проверка лицензии
2026-02-09 19:53:21,476 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:53:21,607 - license_client - ERROR - Лицензия принудительно отключена
2026-02-09 19:53:21,619 - license_client - WARNING - Лицензия стала недействительной
2026-02-09 19:53:21,626 - license_client - INFO - Лицензия сохранена
2026-02-09 19:53:38,742 - license_client - INFO - Фоновая проверка остановлена
2026-02-09 19:54:21,632 - license_client - INFO - Проверка лицензии e47f49d7... на HWID CRAFT-B6DD50B6A9C5A349F55F
2026-02-09 19:54:21,795 - license_client - ERROR - Лицензия принудительно отключена
